ID,RA,Dec,Gal Long,Gal Lat,Ecl Long,Ecl Lat
46,353.75454356,76.2777777778,118.340528083,14.0919377059,56.9813733818,64.3660881058
47,7.98693532348,71.4166666667,121.363146636,8.6043103315,52.9299826634,58.4357283793
48,21.3202686568,71.4166666667,125.650916617,8.72380419456,58.4463229511,55.4442182039
49,34.6536019901,71.4166666667,129.826465358,9.72137616633,64.2464454073,52.8995158094
50,47.9869353235,71.4166666667,133.719031441,11.5510018309,70.2609296585,50.8475241777
51,61.3202686568,71.4166666667,137.171559238,14.1303468012,76.4330510571,49.3264479748
52,74.6536019901,71.4166666667,140.04291852,17.3469230126,82.7113879328,48.3654403494
53,87.9869353235,71.4166666667,142.204493844,21.0640594844,89.0463282552,47.9833275785
54,101.320268657,71.4166666667,143.533030616,25.1247709257,95.3886814553,48.1876820387
55,114.65360199,71.4166666667,143.903393829,29.352477668,101.689289188,48.9744278614
56,127.986935323,71.4166666667,143.186727621,33.5487163328,107.898762118,50.3280567326
57,141.320268657,71.4166666667,141.262239544,37.4896328559,113.966494769,52.2224115754
58,154.65360199,71.4166666667,138.053570568,40.9256937329,119.837954862,54.6218834321
59,167.986935323,71.4166666667,133.59712226,43.592641933,125.448738748,57.4827753349
60,181.320268657,71.4166666667,128.126583811,45.24316095,130.712519923,60.7545040343
61,194.65360199,71.4166666667,122.113378217,45.7001781899,135.496377811,64.3801680031
62,207.986935323,71.4166666667,116.188015366,44.9108499829,139.566711892,68.295591571
63,221.320268657,71.4166666667,110.953673844,42.9653584043,142.456481649,72.4245001166
64,234.65360199,71.4166666667,106.819657,40.0655852481,143.084925494,76.6616761026
65,247.986935323,71.4166666667,103.959223605,36.4679116472,138.440033354,80.8072698545
66,261.320268657,71.4166666667,102.37010631,32.4347423723,118.700451997,84.2412814328
67,274.65360199,71.4166666667,101.958605421,28.2091308592,73.2547236715,84.8700724981
68,287.986935323,71.4166666667,102.599412303,24.0078219088,45.1819724623,81.9818664737
69,301.320268657,71.4166666667,104.164261509,20.0230418946,37.546166872,77.9463890627
70,314.65360199,71.4166666667,106.529051261,16.4259812084,37.0528006158,73.7074776168
71,327.986935323,71.4166666667,109.569874348,13.3683682113,39.4173307306,69.5320776017
72,341.320268657,71.4166666667,113.15534803,10.9808610813,43.1954399385,65.5426559447
73,354.65360199,71.4166666667,117.140174777,9.36846760395,47.7944617086,61.8215154453
74,6.35401623035,66.5555555556,120.342605791,3.81472064348,45.7135413315,55.5128190195
75,17.2631071394,66.5555555556,124.686244652,3.74382605952,51.2461994272,52.6362833541
76,28.1721980485,66.5555555556,128.981046278,4.40585518869,56.8678515977,50.088986224
77,39.0812889576,66.5555555556,133.109017088,5.7788847784,62.5742544656,47.9007354545
78,49.9903798667,66.5555555556,136.961156013,7.81871085533,68.3574367564,46.0984734159
79,60.8994707758,66.5555555556,140.440896229,10.4624847598,74.2057906297,44.7054048736
80,71.8085616849,66.5555555556,143.464002113,13.6329471487,80.1044227075,43.7401414359
81,82.717652594,66.5555555556,145.955129333,17.2421880826,86.0357775279,43.2159428583
82,93.6267435031,66.5555555556,147.841947507,21.1941009381,91.980506527,43.1401361261
83,104.535834412,66.5555555556,149.04799498,25.3850320226,97.918514404,43.5137799732
84,115.444925321,66.5555555556,149.485581368,29.7024163996,103.830082132,44.3316160425
85,126.35401623,66.5555555556,149.050576275,34.0214271094,109.696951145,45.5823128128
86,137.263107139,66.5555555556,147.62241381,38.2000099512,115.503260741,47.2489720222
87,148.172198049,66.5555555556,145.075551793,42.0734855227,121.236258243,49.3098373302
88,159.081288958,66.5555555556,141.31218378,45.4516899723,126.886740998,51.7391270701
89,169.990379867,66.5555555556,136.325237675,48.1245642012,132.449230521,54.5079091545
90,180.899470776,66.5555555556,130.283568785,49.8842755331,137.921912991,57.5849448578
91,191.808561685,66.5555555556,123.590177704,50.5673238263,143.306402125,60.9374451285
92,202.717652594,66.5555555556,116.835585675,50.1033559183,148.607390398,64.5317033794
93,213.626743503,66.5555555556,110.629697974,48.5406116182,153.832258511,68.3335881852
94,224.535834412,66.5555555556,105.419559487,46.0281845067,158.990727011,72.3088953104
95,235.444925321,66.5555555556,101.416790071,42.7691707296,164.094715652,76.423569918
96,246.35401623,66.5555555556,98.6414267116,38.9755575907,169.159054036,80.6438168164
97,257.263107139,66.5555555556,97.0072572877,34.842173032,174.207951951,84.9361199198
98,268.172198049,66.5555555556,96.3906913448,30.5385422618,179.524338242,89.26718385
99,279.081288958,66.5555555556,96.6688115925,26.2106806315,4.09689446397,86.3960978833
